urls,openai,huggingface
https://pl.wikipedia.org/wiki/Blazar vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.3244,0.4786
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Penelopa,0.3163,0.4495
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Hekabe,0.3135,0.4162
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Zbrojni,0.3122,0.3408
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Zbrojni,0.3106,0.3696
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.3069,0.335
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Blazar,0.3043,0.2599
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Kwazar,0.3009,0.2761
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2993,0.3174
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Achilles,0.2959,0.4072
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.2934,0.2621
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Zbrojni,0.2922,0.3459
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2916,0.3206
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.2915,0.268
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Zbrojni,0.289,0.364
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/PyTorch,0.2882,0.4676
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2861,0.3455
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Kwazar,0.283,0.2675
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Agamemnon,0.2825,0.5795
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Blazar,0.28,0.3011
https://pl.wikipedia.org/wiki/The_Blue_Marble vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2787,0.4545
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.2787,0.4529
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Penelopa,0.2773,0.4033
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2771,0.3952
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Penelopa,0.2762,0.5386
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.2756,0.3389
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.2688,0.2923
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne,0.267,0.4531
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.2668,0.3653
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2648,0.3861
https://pl.wikipedia.org/wiki/The_Blue_Marble vs https://pl.wikipedia.org/wiki/Achilles,0.2615,0.4032
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Achilles,0.2613,0.2768
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2586,0.4023
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Blazar,0.2568,0.2668
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.2564,0.3269
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Hekabe,0.2543,0.4566
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.2515,0.368
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2507,0.2021
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Agamemnon,0.2466,0.395
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.2456,0.2493
https://pl.wikipedia.org/wiki/PLLuM vs https://pl.wikipedia.org/wiki/Kwazar,0.2443,0.3199
https://pl.wikipedia.org/wiki/Ciemna_energia vs https://pl.wikipedia.org/wiki/Achilles,0.2443,0.2781
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Achilles,0.2438,0.2749
https://pl.wikipedia.org/wiki/Muzyka_duszy vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2425,0.4305
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Sen_Agamemnona,0.2409,0.3019
https://pl.wikipedia.org/wiki/Zbrojni vs https://pl.wikipedia.org/wiki/Pale_Blue_Dot,0.2407,0.2858
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.2383,0.4189
https://pl.wikipedia.org/wiki/ChatGPT vs https://pl.wikipedia.org/wiki/Dysk_akrecyjny,0.2362,0.2754
https://pl.wikipedia.org/wiki/Dysk_akrecyjny vs https://pl.wikipedia.org/wiki/Hekabe,0.234,0.4325
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Achilles,0.2332,0.2539
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/Zbrojni,0.2331,0.3188
https://pl.wikipedia.org/wiki/Retrieval-augmented_generation vs https://pl.wikipedia.org/wiki/The_Blue_Marble,0.2292,0.2668
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Achilles,0.2285,0.2039
https://pl.wikipedia.org/wiki/Soczewkowanie_grawitacyjne vs https://pl.wikipedia.org/wiki/Zbrojni,0.2284,0.511
https://pl.wikipedia.org/wiki/PyTorch vs https://pl.wikipedia.org/wiki/Kwazar,0.2262,0.334
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Zbrojni,0.2258,0.2624
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Ciemna_energia,0.2252,0.3392
https://pl.wikipedia.org/wiki/The_Blue_Marble vs https://pl.wikipedia.org/wiki/Agamemnon,0.2241,0.59
https://pl.wikipedia.org/wiki/Pale_Blue_Dot vs https://pl.wikipedia.org/wiki/Hekabe,0.2239,0.4682
https://pl.wikipedia.org/wiki/Kwazar vs https://pl.wikipedia.org/wiki/Muzyka_duszy,0.2223,0.2993
https://pl.wikipedia.org/wiki/TensorFlow vs https://pl.wikipedia.org/wiki/Kwazar,0.2197,0.2032
